#TICID,Teff,SpT,TESS sectors,Flares,Rotation,ftic,Lbol,Prot,error_Prot,Amplitude,error_Amplitude,FAP,U,V,W,U_LSR,V_LSR,W_LSR,eU,eV,eW,RVReference,GalacticPopulation,Probability
219095664,2939,M5.3,"14,15,16,17,18,19,20,21,22,23,24,25,40,41,47,48,49,50,51,52",Yes,Yes,0.01628,2.601E+030,0.1622,0.00002,0.0026,0,<<1E-310,-26.641,-17.827,-9.241,-17.061,-7.307,-2.231,0.99,2.379,1.4,SIMBAD,THIN-DISK,0.989
1881309133,2962,M5.2,"14,15",Yes,Yes,2.32066,4.997E+030,0.2632,0.00127,0.0044,0,<<1E-310,6.192,4.547,-11.341,15.772,15.067,-4.331,0.398,0.365,0.055,GAIA-DR3,THIN-DISK,0.988
416670281,2511,M8.2,31,No,No,0.00003,,,,,,,-29.262,-14.424,38.857,-19.682,-3.904,45.867,0.721,0.044,0.105,SIMBAD,THIN-DISK,0.823
291108374,2810,M6.1,46,No,No,0.04971,,,,,,,50.053,-40.836,-17.509,59.633,-30.316,-10.499,0.641,1.75,3.657,SIMBAD,THIN-DISK,0.971
452922110,2917,M5.5,"7,34",Yes,No,0.02905,3.155E+030,,,,,,-50.596,-27.417,-0.38,-41.016,-16.897,6.63,0.708,0.006,0.022,SIMBAD,THIN-DISK,0.984
128325971,2194,L0.4,7,No,No,2.28659,,,,,,,-58.477,-6.798,-56.29,-48.897,3.722,-49.28,0.292,1.776,0.124,SIMBAD,THIN/THICK-TRANSITION,0.498
53603145,2305,M9.6,"6,7,33",No,Yes,0.36381,,0.2092,0.00169,0.0546,0.00031,1.17E-266,-16.579,-0.127,-15.353,-6.999,10.393,-8.343,0.337,1.636,0.375,SIMBAD,THIN-DISK,0.985
121204333,2757,M6.5,"7,34",Yes,No,0.04088,2.212E+030,,,,,,32.093,-34.961,-9.235,41.673,-24.441,-2.225,0.646,0.048,0.014,SIMBAD,THIN-DISK,0.981
197614720,2916,M5.5,28,Yes,Yes,0.08213,2.553E+030,1.4239,0.09286,0.0075,0.00015,3.94E-237,-23.895,-26.255,-19.707,-14.315,-15.735,-12.697,0.312,0.026,0.019,SIMBAD,THIN-DISK,0.984
201467079,2817,M6.1,"6,33",Yes,No,0.02597,2.984E+030,,,,,,-21.803,8.463,69.223,-12.223,18.983,76.233,0.029,2.19,1.028,GAIA-DR3,THICK-DISK,0.923
189640779,2615,M7.5,35,No,No,0.72882,,,,,,,3.906,-0.649,0.502,13.486,9.871,7.512,0.409,0.002,0.005,SIMBAD,THIN-DISK,0.987
23997017,2903,M5.5,38,Yes,No,0.1393,2.936E+030,,,,,,17.212,-12.101,-18.22,26.792,-1.581,-11.21,1.04,0.353,0.558,SIMBAD,THIN-DISK,0.986
390531051,2959,M5.2,"10,37",No,No,0.29502,,,,,,,-34.332,-0.752,-25.702,-24.752,9.768,-18.692,0.353,0.512,0.425,GAIA-DR3,THIN-DISK,0.982
139471770,2586,M7.7,30,No,No,0.00882,,,,,,,17.849,2.495,-5.866,27.429,13.015,1.144,0.501,0.009,0.011,SIMBAD,THIN-DISK,0.987
125835702,2812,M6.1,"11,38",Yes,Yes,0.08269,2.147E+030,0.232,0.00007,0.0046,0.00007,6.11E-225,0.068,-4.17,-5.772,9.648,6.35,1.238,0.464,0.025,0.03,SIMBAD,THIN-DISK,0.989
104123038,2939,M5.3,39,Yes,Yes,0.73789,3.118E+030,0.0905,0.0003,0.0082,0.00019,5.17E-201,,,,,,,,,,,,
1220362,2076,L1.2,5,No,No,0.42846,,,,,,,24.618,-23.618,4.222,34.198,-13.098,11.232,0.729,0.057,0.014,SIMBAD,THIN-DISK,0.983
304392811,2573,M7.8,"2,29",Yes,No,0.00078,1.103E+030,,,,,,-25.796,41.166,2.874,-16.216,51.686,9.884,0.489,0.272,1.911,SIMBAD,THIN-DISK,0.959
