#TICID  tstart  tend  ED  Amplitude  Ebol Cadence
31381302 1605.224 1605.229 15.444 0.063 5.154E+31 120
31381302 1519.867 1519.873 14.943 0.065 4.987E+31 120
31381302 1650.256 1650.261 13.888 0.044 4.635E+31 120
31381302 1433.423 1433.427 12.444 0.049 4.153E+31 120
31381302 1456.566 1456.570 9.926 0.044 3.313E+31 120
31381302 1575.697 1575.701 9.539 0.039 3.184E+31 120
31381302 2350.914 2350.933 221.132 0.616 7.380E+32 20
31381302 2132.834 2132.865 207.991 0.214 6.941E+32 20
31381302 2373.097 2373.114 132.550 0.301 4.424E+32 20
31381302 2047.015 2047.040 73.373 0.065 2.449E+32 20
31381302 2062.779 2062.792 56.692 0.135 1.892E+32 20
31381302 2232.973 2232.991 56.275 0.085 1.878E+32 20
31381302 2248.282 2248.292 49.636 0.148 1.656E+32 20
31381302 2292.486 2292.495 47.922 0.093 1.599E+32 20
31381302 2298.399 2298.408 39.576 0.157 1.321E+32 20
31381302 2245.435 2245.448 37.139 0.083 1.239E+32 20
31381302 2059.361 2059.371 27.083 0.074 9.038E+31 20
31381302 2130.730 2130.737 23.289 0.053 7.772E+31 20
31381302 2064.835 2064.844 22.736 0.045 7.588E+31 20
31381302 2301.983 2301.991 20.947 0.084 6.991E+31 20
31381302 2063.221 2063.226 20.399 0.116 6.808E+31 20
31381302 2136.574 2136.580 19.017 0.073 6.346E+31 20
31381302 2248.785 2248.792 18.509 0.065 6.177E+31 20
31381302 2337.216 2337.222 17.852 0.048 5.958E+31 20
31381302 2098.744 2098.748 17.468 0.090 5.829E+31 20
31381302 2089.610 2089.615 16.834 0.046 5.618E+31 20
31381302 2296.412 2296.416 15.073 0.064 5.030E+31 20
31381302 2362.529 2362.533 14.472 0.065 4.830E+31 20
31381302 2138.980 2138.984 14.415 0.077 4.811E+31 20
31381302 2140.240 2140.244 14.095 0.076 4.704E+31 20
31381302 2266.448 2266.452 12.252 0.043 4.089E+31 20
31381302 2098.069 2098.073 12.144 0.045 4.053E+31 20
31381302 2337.536 2337.540 12.000 0.056 4.005E+31 20
31381302 2070.086 2070.090 10.602 0.045 3.538E+31 20
31381302 2354.417 2354.421 10.558 0.041 3.524E+31 20
31381302 2082.672 2082.676 9.788 0.044 3.267E+31 20
31381302 2247.495 2247.499 9.774 0.045 3.262E+31 20
31381302 2250.982 2250.987 8.331 0.036 2.780E+31 20
1053225430 2349.125 2349.126 4.035 0.059 1.315E+31 20
1053225430 1607.286 1607.290 5.144 0.016 1.676E+31 120
1053225430 2353.403 2353.405 5.751 0.096 1.874E+31 20
1053225430 2349.125 2349.130 8.424 0.046 2.745E+31 20
1053225430 2353.403 2353.407 8.603 0.036 2.804E+31 20
1053225430 2357.181 2357.183 11.294 0.164 3.681E+31 20
1053225430 2348.567 2348.568 11.404 0.185 3.717E+31 20
1053225430 1623.565 1623.572 11.720 0.024 3.820E+31 120
1053225430 1603.933 1603.938 12.518 0.041 4.080E+31 120
1053225430 1606.136 1606.142 14.254 0.051 4.646E+31 120
1053225430 1605.424 1605.434 15.304 0.022 4.988E+31 120
1053225430 1614.580 1614.586 17.044 0.067 5.555E+31 120
1053225430 2334.660 2334.662 18.311 0.218 5.968E+31 20
1053225430 1602.704 1602.709 20.228 0.096 6.592E+31 120
1053225430 2356.491 2356.495 30.088 0.357 9.806E+31 20
1053225430 1605.172 1605.190 50.607 0.124 1.649E+32 120
1053225430 2334.554 2334.567 63.487 0.160 2.069E+32 20
1053225430 2352.760 2352.792 386.395 1.200 1.259E+33 20
1001036250 1946.930 1946.937 378.710 1.809 8.194E+32 120
1001036250 1761.188 1761.195 211.266 0.608 4.571E+32 120
1001036250 1747.172 1747.178 102.301 0.357 2.213E+32 120
1001036250 2648.408 2648.424 396.964 1.060 8.589E+32 20
1001036250 2663.981 2663.986 154.602 0.611 3.345E+32 20
1001036250 2672.245 2672.249 59.121 0.244 1.279E+32 20
1001036250 2675.770 2675.774 49.664 0.181 1.075E+32 20
229115214 2091.400 2091.406 39.647 0.124 1.162E+32 120
469392302 1771.404 1771.410 42.298 0.133 1.411E+32 120
23997017 2344.212 2344.212 4.693 0.125 1.378E+31 20
23997017 2338.928 2338.929 5.892 0.080 1.730E+31 20
23997017 2350.036 2350.037 6.451 0.099 1.894E+31 20
